date,currency,rate
20181212,USD,1.0
20181212,EUR,1.1346
20181212,AUD,0.7212051869
20181212,HKD,0.1279244134
20181212,INR,0.0138890929
20181212,KRW,0.0008859771
20181225,USD,1.0
20181225,EUR,1.1408
20181225,AUD,0.704806623
20181225,HKD,0.1276648127
20181225,INR,0.0142566141
20181225,KRW,0.0008887435
20181220,USD,1.0
20181220,EUR,1.1451
20181220,AUD,0.7134579439
20181220,HKD,0.1277614138
20181220,INR,0.0143228808
20181220,KRW,0.0008913434
20181209,USD,1.0
20181209,EUR,1.1371
20181209,AUD,0.7212355702
20181209,HKD,0.1279566988
20181209,INR,0.0141238868
20181209,KRW,0.0008892834
20181231,USD,1.0
20181231,EUR,1.145
20181231,AUD,0.705918619
20181231,HKD,0.1276833008
20181231,INR,0.0143610043
20181231,KRW,0.0008959802
20181214,USD,1.0
20181214,EUR,1.1285
20181214,AUD,0.7163714848
20181214,HKD,0.1279942836
20181214,INR,0.0138935057
20181214,KRW,0.0008815235
20181229,USD,1.0
20181229,EUR,1.1454
20181229,AUD,0.7063829787
20181229,HKD,0.127669535
20181229,INR,0.014277256
20181229,KRW,0.0008952984
20181221,USD,1.0
20181221,EUR,1.1414
20181221,AUD,0.70978173
20181221,HKD,0.1277190941
20181221,INR,0.0142603698
20181221,KRW,0.0008898348
20181205,USD,1.0
20181205,EUR,1.1354
20181205,AUD,0.7292697026
20181205,HKD,0.1280117256
20181205,INR,0.0141808008
20181205,KRW,0.0008979824
20181230,USD,1.0
20181230,EUR,1.1454
20181230,AUD,0.7063829787
20181230,HKD,0.127669535
20181230,INR,0.014277256
20181230,KRW,0.0008952984
20181201,USD,1.0
20181201,EUR,1.1359
20181201,AUD,0.7297783489
20181201,HKD,0.1278432432
20181201,INR,0.0143636628
20181201,KRW,0.0008915733
20181218,USD,1.0
20181218,EUR,1.1377
20181218,AUD,0.7196078431
20181218,HKD,0.1278659414
20181218,INR,0.0141764171
20181218,KRW,0.0008858177
20181219,USD,1.0
20181219,EUR,1.1405
20181219,AUD,0.7182442219
20181219,HKD,0.1278000022
20181219,INR,0.0142356084
20181219,KRW,0.0008881015
20181227,USD,1.0
20181227,EUR,1.1377
20181227,AUD,0.7039787142
20181227,HKD,0.1276750945
20181227,INR,0.0142311228
20181227,KRW,0.0008910279
20181204,USD,1.0
20181204,EUR,1.1409
20181204,AUD,0.7383988091
20181204,HKD,0.128088828
20181204,INR,0.0141776021
20181204,KRW,0.0009047294
20181202,USD,1.0
20181202,EUR,1.1359
20181202,AUD,0.7297783489
20181202,HKD,0.1278432432
20181202,INR,0.0143636628
20181202,KRW,0.0008915733
20181216,USD,1.0
20181216,EUR,1.1285
20181216,AUD,0.7163714848
20181216,HKD,0.1279942836
20181216,INR,0.0138935057
20181216,KRW,0.0008815235
20181224,USD,1.0
20181224,EUR,1.1408
20181224,AUD,0.704806623
20181224,HKD,0.1276648127
20181224,INR,0.0142566141
20181224,KRW,0.0008887435
20181213,USD,1.0
20181213,EUR,1.1371
20181213,AUD,0.7229321635
20181213,HKD,0.1280474759
20181213,INR,0.013964484
20181213,KRW,0.0008893599
20181226,USD,1.0
20181226,EUR,1.1408
20181226,AUD,0.704806623
20181226,HKD,0.1276648127
20181226,INR,0.0142566141
20181226,KRW,0.0008887435
20181130,USD,1.0
20181130,EUR,1.1359
20181130,AUD,0.7297783489
20181130,HKD,0.1278432432
20181130,INR,0.0143636628
20181130,KRW,0.0008915733
20181211,USD,1.0
20181211,EUR,1.1379
20181211,AUD,0.7211940677
20181211,HKD,0.127948816
20181211,INR,0.0139071027
20181211,KRW,0.0008860976
20181210,USD,1.0
20181210,EUR,1.1425
20181210,AUD,0.7211841939
20181210,HKD,0.1279638901
20181210,INR,0.0138102514
20181210,KRW,0.0008874338
20181217,USD,1.0
20181217,EUR,1.1341
20181217,AUD,0.7177393836
20181217,HKD,0.1279675934
20181217,INR,0.0139645131
20181217,KRW,0.0008844885
20181207,USD,1.0
20181207,EUR,1.1371
20181207,AUD,0.7212355702
20181207,HKD,0.1279566988
20181207,INR,0.0141238868
20181207,KRW,0.0008892834
20181206,USD,1.0
20181206,EUR,1.1351
20181206,AUD,0.7209272785
20181206,HKD,0.1280154282
20181206,INR,0.014101497
20181206,KRW,0.0008916522
